OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,No Vehicles Available,1 Vehicle Available,2 Vehicles Available,3 or more Vehicles Available,Worked From Home,Car truck or van - drove alone,Car truck or van - carpooled,Public Transportation (excluding taxicab),Other Means,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,Walked,Workers 16 years and over,Total Households,Neighborhood Type (outside comp plan areas id)
79,11.3,Cascade/Eastlake,CRA,Lake Union,5Y23,8277,8354,1816,78,8021,3605,297,1894,590,4365,5772,2569,418,292,111,7141,21548,18525,CRA
80,12.1,Magnolia,CRA,Magnolia/Queen Anne,5Y23,227,2105,2759,662,2276,3342,591,377,371,915,2244,1200,257,26,120,81,7038,5753,CRA
81,12.2,Interbay,CRA,Magnolia/Queen Anne,5Y23,711,3368,1771,423,2884,3478,473,1268,313,928,2396,1361,437,386,152,128,8544,6273,CRA
82,12.3,Queen Anne,CRA,Magnolia/Queen Anne,5Y23,5556,13142,5299,1426,11072,9444,1443,4009,1002,4090,9016,4844,1124,654,263,4093,31063,25423,CRA
83,13.1,Belltown,CRA,Downtown,5Y23,2959,4191,559,85,3872,1616,77,727,238,1394,2054,731,288,209,54,2072,8602,7794,CRA
84,13.2,Downtown Commercial Core,CRA,Downtown,5Y23,2122,1352,424,58,1563,507,65,777,53,636,907,513,133,79,18,884,3849,3956,CRA
85,13.3,Pioneer Square/International District,CRA,Downtown,5Y23,2930,1029,155,18,729,579,18,1355,78,754,827,521,431,167,32,702,3461,4132,CRA
86,0,Outside Villages,UCUV,Outside Villages,5Y23,11979,68451,65766,25335,73870,102524,14160,25212,9535,27492,62670,43737,16048,7190,2170,7876,233177,171531,UCUV-OUT
87,101,Aurora-Licton Springs,UCUV,Residential Urban Village,5Y23,621,2078,904,334,1081,2809,313,900,310,657,1850,1381,301,330,20,207,5620,3937,UCUV
88,102,Greenwood-Phinney Ridge,UCUV,Residential Urban Village,5Y23,221,782,488,80,810,754,115,387,64,234,470,516,94,57,0,51,2181,1571,UCUV
89,103,Crown Hill,UCUV,Residential Urban Village,5Y23,107,643,691,322,1223,913,210,191,133,189,614,447,155,63,24,45,2715,1763,UCUV
90,106,Upper Queen Anne,UCUV,Residential Urban Village,5Y23,571,1898,626,184,1093,1170,144,548,77,295,1026,834,118,79,12,425,3457,3279,UCUV
91,107,Eastlake,UCUV,Residential Urban Village,5Y23,454,2127,903,81,1479,1587,168,737,209,525,1465,584,142,157,57,229,4409,3565,UCUV
92,109,23rd & Union-Jackson,UCUV,Residential Urban Village,5Y23,1553,3526,2253,474,2962,3627,510,1596,451,1047,3406,1641,469,184,55,618,9764,7806,UCUV
