COMPKEY,UNITID,UNITID2,ORD_STREET,ORD_STNAME,SE_ANNO_CAD_DATA,STATUS,NAME,OBJECTID,Shape__Length
20491,16285,0070,8TH,8TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55202,1116.46425667239
1922,00465,0030,14TH,14TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55203,260.037595248708
14936,11690,0120,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55204,457.208507161035
20486,16285,0036,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55205,180.236250185252
20489,16285,0060,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55206,322.736147949906
20494,16285,0120,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55207,732.652235643221
9443,05735,0090,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55208,360.694928088593
14937,11690,0130,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55209,192.975223070326
20482,16285,0010,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55210,554.30233654676
14936,11690,0120,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55211,458.9412792714
14937,11690,0130,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55212,192.324478621011
508085,16285,0090,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55213,342.270592422685
9441,05735,0080,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55214,122.157259943754
9446,05735,0140,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55215,405.656694614214
10769,7180,0110,HARRISON,HARRISON ST,System.Byte[],CONSTRUCTED,South Lake Union,55216,382.845845868675
13528,10435,0200,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55217,127.329842452134
0, , , , ,System.Byte[],CONSTRUCTED,South Lake Union,55218,96.6065987909898
